page,sn,code,descr,description_ar,qty,uom,uc,tc,brand_clean,coo_clean,probable_price_sar,confidence,source_name,source_url,justification_ar,priced,needs_review
1,2603,07516T,"1.5/16""SHORT,12PT,IMPACT ةبح",جوزة صدمة دق كبيرة مقاس 1-5/16 إنش، 12 سن، قصيرة.,9.0,EA,85.0,765.0,07516T,USA,180,منخفض,estimated from category benchmark (large impact sockets),https://sktools.com/collections/impact-sockets-sets-drive-tools/3-4,سعر تقديري لجوزة صدمة دق كبيرة مقاس 1-5/16 إنش 12 سن قصيرة بناءً على أسعار الجوز الصناعية الكبيرة المماثلة.,True,False
1,1,20X22,ring wrench موتخم حاتفم,مفتاح حلقي (رينج) مزدوج المقاس 20×22مم.,4.0,EA,25.0,100.0,ACESSA,SPAIN,25,منخفض,estimated from category benchmark,https://www.amazon.sa/-/en/b?ie=UTF8&node=16621003031,مفتاح حلقي (رينج) مزدوج المقاس 20×22مم.,True,False
1,2,08-104,ر 50-75MM O/S تيموركيم,ميكرومتر خارجي لقياس الأبعاد بمدى 50-75 مم.,1.0,EA,290.0,290.0,ACHA,SPAIN,200,منخفض,estimated from category benchmark,https://www.amazon.sa/-/en/b?ie=UTF8&node=16973894031,ميكرومتر خارجي بمدى 50-75مم أداة قياس دقيقة أعلى ثمناً من الكاليبرات العادية.,True,False
1,3,17-244,V.CALIPER 200MM مم200 تريلاك,قدمة (فرجار) قياس فورنية مقاس 200مم من ماركة ACHA.,1.0,EA,60.0,60.0,ACHA,SPAIN,100,متوسط,estimated from category benchmark,https://www.amazon.sa/-/en/b?ie=UTF8&node=16620999031,سعر تقديري لقدمة (فرجار) قياس فورنية مقاس 200مم بالاستناد إلى أسعار أدوات القياس الدقيقة المماثلة.,True,False
1,4,08-108,ر MICROMETER 100-125MM تيموركيم,ميكرومتر خارجي بمدى 125-150 مم من أتشا.,4.0,EA,190.0,760.0,ACHA,SPAIN,205,منخفض,تقدير استناداً لفئة الميكرومترات الدقيقة الكبيرة,https://www.amazon.com/s?k=outside+micrometer+125-150mm,لا يوجد سعر مباشر للعلامة التجارية أتشا؛ التقدير مبني على ميكرومترات القياس الدقيقة المماثلة بهذا المدى الكبير (125-150مم) والتي تكون أعلى سعراً من المدى الصغير.,True,False
1,5,08-110,ر MICROMETER 125-150MM تيموركيم,ميكرومتر خارجي بمدى 125-150 مم من أتشا.,7.0,EA,250.0,1750.0,ACHA,SPAIN,205,منخفض,تقدير استناداً لفئة الميكرومترات الدقيقة الكبيرة,https://www.amazon.com/s?k=outside+micrometer+125-150mm,لا يوجد سعر مباشر للعلامة التجارية أتشا؛ التقدير مبني على ميكرومترات القياس الدقيقة المماثلة بهذا المدى الكبير (125-150مم) والتي تكون أعلى سعراً من المدى الصغير.,True,False
1,6,08-106,ر MICROMETER 75-100MM تيموركيم,ميكرومتر خارجي بمدى 125-150 مم من أتشا.,6.0,EA,160.0,960.0,ACHA,SPAIN,205,منخفض,تقدير استناداً لفئة الميكرومترات الدقيقة الكبيرة,https://www.amazon.com/s?k=outside+micrometer+125-150mm,لا يوجد سعر مباشر للعلامة التجارية أتشا؛ التقدير مبني على ميكرومترات القياس الدقيقة المماثلة بهذا المدى الكبير (125-150مم) والتي تكون أعلى سعراً من المدى الصغير.,True,False
1,7,12-244,CALIPER 200MM مم200 تريلاك,كاليبر (قدمة قياس) ميكانيكي بطول 200مم.,1.0,EA,180.0,180.0,ACHA,SPAIN,70,متوسط,Noon.com - Vernier Caliper,https://www.noon.com/saudi-en/vernier-caliper-silver-0-200mm/N12289298A/p/,كاليبر (قدمة) قياس ميكانيكي 200مم من علامة اقتصادية مشابهة لأسعار الكاليبرات البسيطة في نون.,True,False
1,2249,ADV.,"DRILL BIT SET,29PC,INCH شنلااب ليرد شير مقط",طقم مثاقب حديد بالمقاسات الإنشية مكون من 29 قطعة.,30.0,SET,550.0,16500.0,ADVANTA,USA,120,منخفض,تقدير فئوي لأطقم مثاقب اقتصادية 29 قطعة,https://www.amazon.com/hollow-hole-punch-set/s?k=hollow+hole+punch+set,طقم مثاقب بالإنش من 29 قطعة من علامة اقتصادية (ADVANTA) غير معروفة عالميًا، وهذه الأطقم الاقتصادية تكون عادة أرخص من الماركات الألمانية المعروفة.,True,False
1,2313,CA7024,CABLE TESTER,جهاز اختبار كابلات لتحديد أعطال وأطوال الكابلات الكهربائية (TDR).,1.0,EA,2500.0,2500.0,AEMC,USA,1400,متوسط,Testers And Tools distributor page,https://www.testersandtools.com/aemc-cable-fault-locators.html,جهاز AEMC CA7024 لكشف أعطال وقياس أطوال الكابلات وُجد بسعر 569 دولاراً أمريكياً جديداً (مع الإشارة إلى توقف إنتاجه)، وهو جهاز اختبار كابلات احترافي متخصص.,True,False
1,2209,RVA801,ANEMOMETER حايرلا ةعسر سايق زاهج,جهاز لقياس سرعة وحجم الهواء ودرجة حرارته بريشة دوارة من ألنور.,3.0,EA,3800.0,11400.0,ALNOR,UK,3600,متوسط,AGISafety.com (موزع TSI Alnor في السعودية),https://global.agisafety.com/brands/tsi-alnor,الجهاز متوفر لدى موزع سعودي معتمد لكن دون سعر معلن؛ استناداً إلى أسعار أجهزة قياس سرعة الهواء الدوارة المماثلة عالمياً (٨٠٠-١٢٠٠ دولار) يقترب هذا التقدير من التكلفة الداخلية البالغة ٣٨٠٠.,True,False
1,8,12MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,15.0,EA,25.0,375.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
1,9,16MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,30.0,EA,35.0,1050.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
1,10,20MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,42.0,EA,55.0,2310.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
