page,sn,code,descr,qty,uom,uc,tc,brand_clean,coo_clean
1,2603,07516T,"1.5/16""SHORT,12PT,IMPACT ةبح",9.0,EA,85.0,765.0,07516T,USA
1,1,20X22,ring wrench موتخم حاتفم,4.0,EA,25.0,100.0,ACESSA,SPAIN
1,2,08-104,ر 50-75MM O/S تيموركيم,1.0,EA,290.0,290.0,ACHA,SPAIN
1,3,17-244,V.CALIPER 200MM مم200 تريلاك,1.0,EA,60.0,60.0,ACHA,SPAIN
1,4,08-108,ر MICROMETER 100-125MM تيموركيم,4.0,EA,190.0,760.0,ACHA,SPAIN
1,5,08-110,ر MICROMETER 125-150MM تيموركيم,7.0,EA,250.0,1750.0,ACHA,SPAIN
1,6,08-106,ر MICROMETER 75-100MM تيموركيم,6.0,EA,160.0,960.0,ACHA,SPAIN
1,7,12-244,CALIPER 200MM مم200 تريلاك,1.0,EA,180.0,180.0,ACHA,SPAIN
1,2249,ADV.,"DRILL BIT SET,29PC,INCH شنلااب ليرد شير مقط",30.0,SET,550.0,16500.0,ADVANTA,USA
1,2313,CA7024,CABLE TESTER,1.0,EA,2500.0,2500.0,AEMC,USA
1,2209,RVA801,ANEMOMETER حايرلا ةعسر سايق زاهج,3.0,EA,3800.0,11400.0,ALNOR,UK
1,8,12MM,"SDS,DRILL BITسا ىد سا ةشير",15.0,EA,25.0,375.0,ALPEN,AUSTRIA
1,9,16MM,"SDS,DRILL BITسا ىد سا ةشير",30.0,EA,35.0,1050.0,ALPEN,AUSTRIA
1,10,20MM,"SDS,DRILL BITسا ىد سا ةشير",42.0,EA,55.0,2310.0,ALPEN,AUSTRIA
1,11,20MM,"SDS,DRILL BITسا ىد سا ةشير",47.0,EA,55.0,2585.0,ALPEN,AUSTRIA
1,12,6.5MM,"SDS,DRILL BIT-SHORTسا ىد سا ةشير",82.0,EA,15.0,1230.0,ALPEN,AUSTRIA
1,13,16MM,"SDS,DRILL BITسا ىد سا ةشير",46.0,EA,35.0,1610.0,ALPEN,AUSTRIA
1,14,16MM,"SDS,DRILL BITسا ىد سا ةشير",19.0,EA,35.0,665.0,ALPEN,AUSTRIA
1,15,16MM,SDS DRILL BIT-SHORTةترصق سا ىد سا ةشير,3.0,EA,35.0,105.0,ALPEN,AUSTRIA
1,16,20MM,SDS DRILL BIT-Lةليوط سا ىد سا ةشير,13.0,EA,55.0,715.0,ALPEN,AUSTRIA
1,17,7MM,HSS DRILL BIT BOX 10PC,18.0,PKT,80.0,1440.0,ALPEN,AUSTRIA
1,18,5.5MM,HSS DRILL BIT BOX 10PC-62445501 شير مقط,10.0,PKT,60.0,600.0,ALPEN,AUSTRIA
1,19,4.5MM,HSS DRILL BIT-10PC/PKT-62404501 شير مقط,42.0,PKT,5.0,210.0,ALPEN,AUSTRIA
1,20,6MM,HSS DRILL BIT-10PC/PKT-62406001 شير مقط,89.0,PKT,6.0,534.0,ALPEN,AUSTRIA
1,21,6.5MM,HSS DRILL BIT-10PC/PKT-62406501 شير مقط,26.0,PKT,8.0,208.0,ALPEN,AUSTRIA
2,22,15MM,"HSS DRILL BUT,10PC/PKT-62415001 شير مقط",24.0,PKT,20.0,480.0,ALPEN,AUSTRIA
2,23,13MM,HSS DRILL BUT-10PC/PKT-62413001 شير مقط,1.0,PKT,15.0,15.0,ALPEN,AUSTRIA
2,24,18MM,"SDS,DRILL BITسا ىد سا ةشير",48.0,EA,60.0,2880.0,ALPEN,AUSTRIA
2,25,18MM,"SDS,DRILL BITسا ىد سا ةشير",19.0,EA,60.0,1140.0,ALPEN,AUSTRIA
2,26,6.5MM,"SDS,DRILL BITسا ىد سا ةشير",10.0,EA,15.0,150.0,ALPEN,AUSTRIA
2,27,16MM,"SDS,DRILL BITسا ىد سا ةشير",14.0,EA,45.0,630.0,ALPEN,AUSTRIA
2,28,10MM,"SDS,DRILL BITسا ىد سا ةشير",12.0,EA,35.0,420.0,ALPEN,AUSTRIA
2,29,12MM,"SDS,DRILL BITسا ىد سا ةشير",12.0,EA,40.0,480.0,ALPEN,AUSTRIA
2,30,14MM,"SDS,DRILL BITسا ىد سا ةشير",1.0,EA,48.0,48.0,ALPEN,AUSTRIA
2,31,20MM,"SDS,DRILL BITسا ىد سا ةشير",2.0,EA,55.0,110.0,ALPEN,AUSTRIA
2,32,6MM,"SDS,DRILL BITسا ىد سا ةشير",6.0,EA,15.0,90.0,ALPEN,AUSTRIA
2,33,12MM,"SDS,DRILL BITسا ىد سا ةشير",7.0,EA,40.0,280.0,ALPEN,AUSTRIA
2,34,18MM,"SDS,DRILL BITسا ىد سا ةشير",4.0,EA,75.0,300.0,ALPEN,AUSTRIA
2,35,10MM,SDS DRILL BIT-Lةليوط سا ىد سا ةشير,3.0,EA,30.0,90.0,ALPEN,AUSTRIA
2,36,10MM,SDS DRILL BIT-MEDIUMسا ىد سا ةشير,3.0,EA,30.0,90.0,ALPEN,AUSTRIA
2,37,10MM,SDS DRILL BIT-SHORTةترصق سا ىد سا ةشير,3.0,EA,33.0,99.0,ALPEN,AUSTRIA
2,38,"7/32""",HSS 10PC/PKT-ديدح شير تكب13164,11.0,PKT,10.0,110.0,ALPEN,AUSTRIA
2,39,5MM,HSS 10PC/PKT-ديدح شير تكب62405001,70.0,PKT,8.0,560.0,ALPEN,AUSTRIA
2,40,18MM,"SDS,DRILL BITسا ىد سا ةشير",12.0,EA,65.0,780.0,ALPEN,AUSTRIA
2,41,6MM,"SDS,DRILL BITسا ىد سا ةشير",39.0,EA,13.0,507.0,ALPEN,AUSTRIA
